HolderAddress,Balance,PendingBalanceUpdate
0x96e5ad233dcb01ed0442d207b7bef2aa0f90f38e,490980.290678931,No
0x2add28e10a60b053a5d8d041992629ab883f425a,490980.290678931,No
0x897729ffe0feaa4845fdfb28866520ccc8cc0ebd,490505.858396015,No
0x542a0eaf1358480ec0703f07bc3120a6503ebbc1,469805.153015057,No
0xeff721eae19885e17f5b80187d6527aad3ffc8de,441739.304042892,No
0xdbae82557da917d2da238f2e15dc93ea8ff59e14,440960.685584512,No
0x3cd751e6b0078be393132286c442345e5dc49699,440305.262757341,No
0xd64813e230b945e501aa1969d21fb2072cb95930,407166.093150491,No
0xc6a21511ebd02525cf94bd1dd379fde007550dea,406961.772913339,No
0x19184ab45c40c2920b0e0e31413b9434abd243ed,400451.21,No
0x05e793ce0c6027323ac150f6d45c2344d28b6019,374111.4852226,No
0x46abbc9fc9d8e749746b00865bc2cf7c4d85c837,365150.235083678,No
0xd4a3135644f164470b034030c0d5be11a2609a3e,343895.823958018,No
0xe3ea0fa2c310ceb55dc1978ca08380f21d81249e,342083.977013469,No
0x4f6742badb049791cd9a37ea913f2bac38d01279,326972.987743585,No
0xa9429b0080cdb0bdc7ecc5ada5ad3344cf8e658c,326775.676,No
0x5fe906fe169807f6b8c16fca609ef9cc60d711ef,298026.725354513,No
0xceed474d02362da11951a17e352b15379132c077,286160.849588062,No
0xb43f63767e49c839d46adbf6c6a5662a7f36be18,277606.50060527,No
0x1522900b6dafac587d499a862861c0869be6e428,270727.500255463,No
0xf7ecae6f035ea4927fde97faa679b5e224afb169,266638.310337499,No
0x28a5ec068ae7500cbf21b989d62c7a81e2665b18,266126.217797117,No
0xc1bf8f2acc5d5824974ce4c90a8438421150f753,247386,No
0xe0ec4d055a8eb3b741b750759ef32a548729864e,229301.472185469,No
0x6c63f89876112e6c7f68e46d9347476e29d5098b,213050.470177131,No
0x1671a3e4a2519a653e66e827ef6eae690ee86729,205723.05933979,No
0x7ec3aefe001cae538f44974de80b2b408920fa1d,205000,No
0x69d0b5f52d7d1dee439dd8cbbf6c72c8fb47197f,204663,No
0xa1d7b2d891e3a1f9ef4bbc5be20630c2feb1c470,204487.709714918,No
0x21a31ee1afc51d94c2efccaa2092ad1028285549,202941.99945889,No
0x78b037b39704e88a82dd23cfbe1f57f6aef8ebc5,195342.68449066,No
